customerid,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,spend_per_tenure,call_delay_ratio,usage_recent_score,spend_usage_ratio
77.0,41.0,Male,59.0,30.0,5.0,26.0,Basic,Annual,628.0,11.0,1,10.64406779661017,0.18518518518518517,2.5,20.258064516129032
78.0,48.0,Female,47.0,12.0,0.0,29.0,Basic,Monthly,761.0,8.0,1,16.19148936170213,0.0,1.3333333333333333,58.53846153846154
79.0,22.0,Male,39.0,10.0,3.0,29.0,Standard,Monthly,599.0,13.0,0,15.35897435897436,0.1,0.7142857142857143,54.45454545454545
80.0,42.0,Female,19.0,25.0,5.0,13.0,Premium,Monthly,372.0,8.0,0,19.57894736842105,0.35714285714285715,2.7777777777777777,14.307692307692308
81.0,55.0,Female,54.0,26.0,0.0,9.0,Premium,Annual,213.0,13.0,0,3.9444444444444446,0.0,1.8571428571428572,7.888888888888889
84.0,27.0,Male,42.0,22.0,3.0,27.0,Basic,Monthly,468.0,25.0,0,11.142857142857142,0.10714285714285714,0.8461538461538461,20.347826086956523
85.0,19.0,Female,59.0,24.0,3.0,26.0,Basic,Quarterly,368.0,8.0,1,6.237288135593221,0.1111111111111111,2.6666666666666665,14.72
86.0,58.0,Male,59.0,10.0,5.0,8.0,Basic,Monthly,599.0,25.0,0,10.152542372881356,0.5555555555555556,0.38461538461538464,54.45454545454545
88.0,22.0,Male,25.0,10.0,10.0,17.0,Premium,Monthly,966.0,7.0,1,38.64,0.5555555555555556,1.25,87.81818181818181
89.0,61.0,Female,28.0,9.0,6.0,5.0,Standard,Monthly,784.0,7.0,0,28.0,1.0,1.125,78.4
90.0,28.0,Male,17.0,19.0,10.0,12.0,Premium,Quarterly,332.0,24.0,0,19.529411764705884,0.7692307692307693,0.76,16.6
92.0,37.0,Female,57.0,21.0,6.0,6.0,Premium,Quarterly,209.0,29.0,0,3.6666666666666665,0.8571428571428571,0.7,9.5
94.0,22.0,Male,51.0,27.0,9.0,23.0,Standard,Annual,347.0,11.0,1,6.803921568627451,0.375,2.25,12.392857142857142
95.0,42.0,Male,37.0,14.0,0.0,24.0,Premium,Annual,418.0,13.0,0,11.297297297297296,0.0,1.0,27.866666666666667
97.0,20.0,Male,32.0,7.0,5.0,14.0,Basic,Annual,920.0,28.0,0,28.75,0.3333333333333333,0.2413793103448276,115.0
101.0,52.0,Female,45.0,20.0,6.0,28.0,Standard,Monthly,442.0,10.0,1,9.822222222222223,0.20689655172413793,1.8181818181818181,21.047619047619047
102.0,35.0,Male,47.0,23.0,4.0,8.0,Standard,Annual,969.0,7.0,0,20.617021276595743,0.4444444444444444,2.875,40.375
103.0,62.0,Female,16.0,13.0,9.0,15.0,Standard,Quarterly,719.0,19.0,0,44.9375,0.5625,0.65,51.357142857142854
104.0,41.0,Male,20.0,27.0,4.0,13.0,Basic,Monthly,941.0,18.0,0,47.05,0.2857142857142857,1.4210526315789473,33.607142857142854
106.0,39.0,Male,59.0,29.0,5.0,7.0,Basic,Annual,225.0,27.0,0,3.8135593220338984,0.625,1.0357142857142858,7.5
107.0,62.0,Male,10.0,9.0,1.0,18.0,Standard,Quarterly,345.0,27.0,0,34.5,0.05263157894736842,0.32142857142857145,34.5
108.0,55.0,Male,22.0,15.0,1.0,19.0,Standard,Quarterly,769.0,30.0,0,34.95454545454545,0.05,0.4838709677419355,48.0625
109.0,44.0,Female,54.0,20.0,1.0,9.0,Basic,Quarterly,717.0,9.0,0,13.277777777777779,0.1,2.0,34.142857142857146
110.0,39.0,Female,7.0,30.0,3.0,5.0,Basic,Monthly,199.0,13.0,0,28.428571428571427,0.5,2.142857142857143,6.419354838709677
111.0,30.0,Male,57.0,20.0,8.0,26.0,Premium,Monthly,821.0,8.0,1,14.403508771929825,0.2962962962962963,2.2222222222222223,39.095238095238095
113.0,56.0,Male,56.0,3.0,3.0,12.0,Standard,Monthly,175.0,11.0,0,3.125,0.23076923076923078,0.25,43.75
114.0,24.0,Male,10.0,3.0,8.0,13.0,Basic,Annual,317.0,3.0,0,31.7,0.5714285714285714,0.75,79.25
116.0,46.0,Female,43.0,10.0,0.0,10.0,Basic,Quarterly,779.0,23.0,0,18.11627906976744,0.0,0.4166666666666667,70.81818181818181
117.0,18.0,Male,36.0,18.0,7.0,14.0,Standard,Monthly,635.0,19.0,0,17.63888888888889,0.4666666666666667,0.9,33.421052631578945
118.0,34.0,Male,28.0,7.0,8.0,7.0,Premium,Monthly,524.0,1.0,0,18.714285714285715,1.0,3.5,65.5
119.0,39.0,Male,13.0,27.0,6.0,21.0,Basic,Quarterly,382.0,16.0,0,29.384615384615383,0.2727272727272727,1.588235294117647,13.642857142857142
122.0,40.0,Male,28.0,4.0,0.0,21.0,Basic,Annual,377.0,7.0,0,13.464285714285714,0.0,0.5,75.4
123.0,44.0,Male,13.0,26.0,3.0,3.0,Basic,Monthly,486.0,25.0,0,37.38461538461539,0.75,1.0,18.0
124.0,52.0,Female,50.0,10.0,2.0,26.0,Basic,Quarterly,640.0,3.0,0,12.8,0.07407407407407407,2.5,58.18181818181818
125.0,40.0,Female,35.0,15.0,6.0,20.0,Basic,Annual,104.0,27.0,1,2.9714285714285715,0.2857142857142857,0.5357142857142857,6.5
127.0,30.0,Female,23.0,29.0,1.0,22.0,Standard,Annual,255.0,24.0,1,11.08695652173913,0.043478260869565216,1.16,8.5
128.0,64.0,Female,36.0,17.0,4.0,15.0,Standard,Monthly,237.0,5.0,0,6.583333333333333,0.25,2.8333333333333335,13.166666666666666
129.0,43.0,Female,52.0,13.0,10.0,14.0,Standard,Quarterly,555.0,11.0,0,10.673076923076923,0.6666666666666666,1.0833333333333333,39.642857142857146
132.0,56.0,Female,33.0,7.0,0.0,22.0,Premium,Monthly,664.0,27.0,1,20.12121212121212,0.0,0.25,83.0
133.0,57.0,Male,37.0,15.0,4.0,10.0,Basic,Monthly,186.0,9.0,0,5.027027027027027,0.36363636363636365,1.5,11.625
134.0,41.0,Female,59.0,20.0,0.0,17.0,Standard,Quarterly,978.0,11.0,0,16.576271186440678,0.0,1.6666666666666667,46.57142857142857
135.0,46.0,Male,47.0,14.0,10.0,16.0,Basic,Annual,996.0,16.0,1,21.19148936170213,0.5882352941176471,0.8235294117647058,66.4
137.0,25.0,Male,27.0,15.0,2.0,15.0,Basic,Quarterly,123.0,19.0,0,4.555555555555555,0.125,0.75,7.6875
138.0,43.0,Male,37.0,11.0,3.0,23.0,Standard,Annual,377.0,9.0,0,10.18918918918919,0.125,1.1,31.416666666666668
140.0,25.0,Female,58.0,7.0,5.0,9.0,Basic,Annual,920.0,22.0,0,15.862068965517242,0.5,0.30434782608695654,115.0
141.0,45.0,Male,56.0,29.0,0.0,24.0,Standard,Annual,335.0,18.0,0,5.982142857142857,0.0,1.5263157894736843,11.166666666666666
142.0,20.0,Male,59.0,10.0,5.0,5.0,Premium,Quarterly,803.0,15.0,0,13.610169491525424,0.8333333333333334,0.625,73.0
145.0,24.0,Male,8.0,12.0,9.0,15.0,Basic,Annual,257.0,18.0,0,32.125,0.5625,0.631578947368421,19.76923076923077
148.0,38.0,Female,16.0,13.0,2.0,28.0,Premium,Annual,133.0,24.0,1,8.3125,0.06896551724137931,0.52,9.5
149.0,39.0,Male,24.0,6.0,5.0,28.0,Premium,Quarterly,910.0,22.0,1,37.916666666666664,0.1724137931034483,0.2608695652173913,130.0
150.0,29.0,Male,42.0,8.0,8.0,21.0,Premium,Quarterly,419.0,27.0,1,9.976190476190476,0.36363636363636365,0.2857142857142857,46.55555555555556
151.0,31.0,Male,20.0,12.0,1.0,7.0,Premium,Annual,115.0,7.0,0,5.75,0.125,1.5,8.846153846153847
152.0,25.0,Male,22.0,5.0,5.0,29.0,Basic,Monthly,121.0,20.0,0,5.5,0.16666666666666666,0.23809523809523808,20.166666666666668
153.0,62.0,Male,22.0,30.0,9.0,21.0,Basic,Annual,736.0,24.0,0,33.45454545454545,0.4090909090909091,1.2,23.741935483870968
158.0,26.0,Female,16.0,10.0,0.0,14.0,Standard,Annual,411.0,19.0,0,25.6875,0.0,0.5,37.36363636363637
160.0,28.0,Male,14.0,5.0,3.0,4.0,Premium,Monthly,200.0,7.0,0,14.285714285714286,0.6,0.625,33.333333333333336
165.0,58.0,Female,54.0,18.0,1.0,29.0,Premium,Quarterly,235.0,29.0,1,4.351851851851852,0.03333333333333333,0.6,12.368421052631579
168.0,41.0,Female,55.0,17.0,10.0,12.0,Premium,Monthly,259.0,22.0,0,4.709090909090909,0.7692307692307693,0.7391304347826086,14.38888888888889
169.0,22.0,Female,59.0,9.0,4.0,9.0,Basic,Monthly,581.0,4.0,0,9.847457627118644,0.4,1.8,58.1
170.0,56.0,Male,52.0,27.0,5.0,13.0,Standard,Annual,796.0,25.0,0,15.307692307692308,0.35714285714285715,1.0384615384615385,28.428571428571427
175.0,23.0,Male,42.0,23.0,6.0,24.0,Standard,Monthly,838.0,6.0,1,19.952380952380953,0.24,3.2857142857142856,34.916666666666664
177.0,29.0,Male,31.0,30.0,8.0,24.0,Premium,Quarterly,150.0,11.0,1,4.838709677419355,0.32,2.5,4.838709677419355
178.0,49.0,Male,40.0,11.0,4.0,17.0,Premium,Monthly,546.0,7.0,0,13.65,0.2222222222222222,1.375,45.5
181.0,45.0,Male,40.0,10.0,10.0,28.0,Premium,Annual,912.0,8.0,1,22.8,0.3448275862068966,1.1111111111111112,82.9090909090909
182.0,53.0,Male,13.0,11.0,9.0,14.0,Basic,Annual,350.0,9.0,0,26.923076923076923,0.6,1.1,29.166666666666668
183.0,33.0,Female,60.0,24.0,10.0,18.0,Premium,Monthly,423.0,24.0,1,7.05,0.5263157894736842,0.96,16.92
185.0,62.0,Male,26.0,18.0,1.0,16.0,Standard,Annual,683.0,12.0,0,26.26923076923077,0.058823529411764705,1.3846153846153846,35.94736842105263
187.0,51.0,Male,38.0,21.0,4.0,5.0,Basic,Quarterly,203.0,26.0,0,5.342105263157895,0.6666666666666666,0.7777777777777778,9.227272727272727
188.0,21.0,Female,41.0,13.0,8.0,22.0,Premium,Monthly,538.0,18.0,1,13.121951219512194,0.34782608695652173,0.6842105263157895,38.42857142857143
189.0,64.0,Male,60.0,25.0,5.0,8.0,Premium,Annual,720.0,24.0,0,12.0,0.5555555555555556,1.0,27.692307692307693
193.0,18.0,Male,28.0,12.0,3.0,20.0,Standard,Monthly,261.0,13.0,0,9.321428571428571,0.14285714285714285,0.8571428571428571,20.076923076923077
194.0,41.0,Female,58.0,24.0,9.0,16.0,Standard,Annual,447.0,20.0,1,7.706896551724138,0.5294117647058824,1.1428571428571428,17.88
198.0,19.0,Male,17.0,11.0,6.0,24.0,Standard,Quarterly,715.0,15.0,0,42.05882352941177,0.24,0.6875,59.583333333333336
199.0,29.0,Female,56.0,21.0,3.0,26.0,Basic,Quarterly,239.0,29.0,1,4.267857142857143,0.1111111111111111,0.7,10.863636363636363
200.0,45.0,Female,20.0,1.0,4.0,15.0,Standard,Monthly,224.0,13.0,0,11.2,0.25,0.07142857142857142,112.0
201.0,36.0,Male,24.0,29.0,1.0,26.0,Premium,Monthly,566.0,8.0,0,23.583333333333332,0.037037037037037035,3.2222222222222223,18.866666666666667
202.0,20.0,Female,9.0,27.0,5.0,16.0,Standard,Annual,295.0,21.0,0,32.77777777777778,0.29411764705882354,1.2272727272727273,10.535714285714286
203.0,30.0,Female,44.0,22.0,4.0,18.0,Standard,Quarterly,890.0,12.0,0,20.227272727272727,0.21052631578947367,1.6923076923076923,38.69565217391305
205.0,27.0,Male,29.0,30.0,4.0,3.0,Basic,Annual,258.0,18.0,0,8.89655172413793,1.0,1.5789473684210527,8.32258064516129
206.0,36.0,Female,26.0,7.0,2.0,3.0,Basic,Annual,371.0,8.0,0,14.26923076923077,0.5,0.7777777777777778,46.375
207.0,33.0,Male,35.0,29.0,9.0,18.0,Basic,Monthly,335.0,8.0,1,9.571428571428571,0.47368421052631576,3.2222222222222223,11.166666666666666
208.0,18.0,Male,33.0,18.0,1.0,22.0,Basic,Annual,312.0,29.0,0,9.454545454545455,0.043478260869565216,0.6,16.42105263157895
209.0,64.0,Male,13.0,20.0,0.0,22.0,Standard,Quarterly,749.0,14.0,0,57.61538461538461,0.0,1.3333333333333333,35.666666666666664
210.0,48.0,Male,36.0,19.0,1.0,13.0,Premium,Annual,140.0,28.0,0,3.888888888888889,0.07142857142857142,0.6551724137931034,7.0
213.0,28.0,Male,56.0,7.0,2.0,25.0,Basic,Monthly,854.0,26.0,0,15.25,0.07692307692307693,0.25925925925925924,106.75
214.0,22.0,Female,45.0,29.0,8.0,7.0,Standard,Monthly,344.0,17.0,0,7.644444444444445,1.0,1.6111111111111112,11.466666666666667
216.0,23.0,Female,31.0,15.0,6.0,11.0,Basic,Quarterly,705.0,24.0,0,22.741935483870968,0.5,0.6,44.0625
217.0,59.0,Male,44.0,7.0,8.0,9.0,Standard,Annual,890.0,26.0,0,20.227272727272727,0.8,0.25925925925925924,111.25
218.0,46.0,Male,27.0,25.0,6.0,8.0,Basic,Monthly,150.0,28.0,0,5.555555555555555,0.6666666666666666,0.8620689655172413,5.769230769230769
220.0,37.0,Female,25.0,19.0,8.0,26.0,Standard,Monthly,212.0,13.0,1,8.48,0.2962962962962963,1.3571428571428572,10.6
221.0,36.0,Male,46.0,5.0,2.0,11.0,Premium,Quarterly,524.0,6.0,0,11.391304347826088,0.16666666666666666,0.7142857142857143,87.33333333333333
222.0,59.0,Male,36.0,16.0,4.0,26.0,Standard,Annual,894.0,29.0,0,24.833333333333332,0.14814814814814814,0.5333333333333333,52.588235294117645
224.0,51.0,Female,32.0,20.0,2.0,24.0,Standard,Quarterly,505.0,21.0,0,15.78125,0.08,0.9090909090909091,24.047619047619047
225.0,38.0,Female,29.0,18.0,4.0,16.0,Standard,Annual,909.0,24.0,0,31.344827586206897,0.23529411764705882,0.72,47.8421052631579
226.0,20.0,Male,60.0,29.0,7.0,22.0,Standard,Quarterly,298.0,23.0,1,4.966666666666667,0.30434782608695654,1.2083333333333333,9.933333333333334
227.0,60.0,Female,16.0,24.0,6.0,21.0,Basic,Monthly,725.0,14.0,1,45.3125,0.2727272727272727,1.6,29.0
228.0,49.0,Male,59.0,9.0,2.0,18.0,Premium,Annual,733.0,18.0,0,12.423728813559322,0.10526315789473684,0.47368421052631576,73.3
229.0,20.0,Female,55.0,25.0,1.0,26.0,Premium,Quarterly,382.0,8.0,1,6.945454545454545,0.037037037037037035,2.7777777777777777,14.692307692307692
230.0,58.0,Female,29.0,20.0,0.0,20.0,Standard,Quarterly,126.0,9.0,0,4.344827586206897,0.0,2.0,6.0
232.0,20.0,Female,29.0,5.0,4.0,17.0,Basic,Annual,584.0,26.0,0,20.137931034482758,0.2222222222222222,0.18518518518518517,97.33333333333333
234.0,47.0,Female,33.0,5.0,4.0,23.0,Premium,Quarterly,393.0,14.0,1,11.909090909090908,0.16666666666666666,0.3333333333333333,65.5
235.0,63.0,Male,18.0,15.0,3.0,27.0,Premium,Annual,722.0,26.0,0,40.111111111111114,0.10714285714285714,0.5555555555555556,45.125
238.0,49.0,Female,33.0,23.0,3.0,21.0,Premium,Annual,230.0,23.0,1,6.96969696969697,0.13636363636363635,0.9583333333333334,9.583333333333334
239.0,46.0,Female,52.0,26.0,5.0,27.0,Basic,Monthly,403.0,14.0,1,7.75,0.17857142857142858,1.7333333333333334,14.925925925925926
244.0,37.0,Male,55.0,28.0,4.0,26.0,Basic,Monthly,826.0,17.0,0,15.018181818181818,0.14814814814814814,1.5555555555555556,28.482758620689655
247.0,62.0,Male,5.0,18.0,6.0,14.0,Standard,Annual,205.0,22.0,0,41.0,0.4,0.782608695652174,10.789473684210526
248.0,48.0,Male,54.0,15.0,7.0,18.0,Standard,Quarterly,131.0,11.0,1,2.425925925925926,0.3684210526315789,1.25,8.1875
249.0,60.0,Male,18.0,27.0,1.0,30.0,Standard,Annual,426.0,30.0,0,23.666666666666668,0.03225806451612903,0.8709677419354839,15.214285714285714
250.0,58.0,Male,15.0,2.0,1.0,13.0,Premium,Annual,309.0,23.0,0,20.6,0.07142857142857142,0.08333333333333333,103.0
251.0,43.0,Male,31.0,8.0,7.0,28.0,Premium,Monthly,313.0,10.0,1,10.096774193548388,0.2413793103448276,0.7272727272727273,34.77777777777778
253.0,41.0,Female,45.0,21.0,5.0,18.0,Basic,Quarterly,799.0,7.0,1,17.755555555555556,0.2631578947368421,2.625,36.31818181818182
254.0,22.0,Male,47.0,15.0,10.0,24.0,Premium,Annual,237.0,17.0,1,5.042553191489362,0.4,0.8333333333333334,14.8125
255.0,45.0,Male,14.0,20.0,1.0,13.0,Basic,Quarterly,828.0,11.0,0,59.142857142857146,0.07142857142857142,1.6666666666666667,39.42857142857143
256.0,38.0,Male,59.0,30.0,1.0,28.0,Premium,Quarterly,481.0,28.0,0,8.152542372881356,0.034482758620689655,1.0344827586206897,15.516129032258064
257.0,28.0,Male,49.0,22.0,6.0,29.0,Standard,Quarterly,187.0,13.0,1,3.816326530612245,0.2,1.5714285714285714,8.130434782608695
258.0,56.0,Male,22.0,21.0,5.0,13.0,Premium,Monthly,632.0,22.0,0,28.727272727272727,0.35714285714285715,0.9130434782608695,28.727272727272727
259.0,42.0,Female,17.0,14.0,6.0,22.0,Standard,Annual,207.0,10.0,1,12.176470588235293,0.2608695652173913,1.2727272727272727,13.8
260.0,20.0,Female,59.0,19.0,0.0,10.0,Premium,Quarterly,366.0,22.0,0,6.203389830508475,0.0,0.8260869565217391,18.3
261.0,62.0,Male,52.0,1.0,4.0,22.0,Standard,Monthly,153.0,26.0,1,2.9423076923076925,0.17391304347826086,0.037037037037037035,76.5
262.0,22.0,Female,37.0,6.0,8.0,17.0,Basic,Quarterly,212.0,12.0,1,5.72972972972973,0.4444444444444444,0.46153846153846156,30.285714285714285
263.0,30.0,Female,46.0,18.0,4.0,13.0,Standard,Quarterly,300.0,21.0,0,6.521739130434782,0.2857142857142857,0.8181818181818182,15.789473684210526
264.0,30.0,Female,55.0,27.0,6.0,11.0,Standard,Monthly,662.0,28.0,0,12.036363636363637,0.5,0.9310344827586207,23.642857142857142
265.0,44.0,Male,21.0,18.0,4.0,27.0,Basic,Quarterly,388.0,12.0,0,18.476190476190474,0.14285714285714285,1.3846153846153846,20.42105263157895
266.0,58.0,Male,38.0,26.0,0.0,27.0,Premium,Annual,874.0,12.0,0,23.0,0.0,2.0,32.370370370370374
267.0,59.0,Male,41.0,18.0,6.0,18.0,Standard,Annual,971.0,12.0,1,23.682926829268293,0.3157894736842105,1.3846153846153846,51.10526315789474
268.0,65.0,Male,55.0,10.0,5.0,18.0,Premium,Quarterly,689.0,6.0,1,12.527272727272727,0.2631578947368421,1.4285714285714286,62.63636363636363
269.0,30.0,Female,42.0,15.0,8.0,8.0,Premium,Monthly,280.0,20.0,0,6.666666666666667,0.8888888888888888,0.7142857142857143,17.5
270.0,28.0,Female,35.0,19.0,2.0,2.0,Premium,Monthly,506.0,22.0,0,14.457142857142857,0.6666666666666666,0.8260869565217391,25.3
271.0,58.0,Male,39.0,16.0,0.0,8.0,Basic,Monthly,690.0,17.0,0,17.692307692307693,0.0,0.8888888888888888,40.588235294117645
272.0,63.0,Female,56.0,28.0,1.0,17.0,Basic,Quarterly,821.0,7.0,0,14.660714285714286,0.05555555555555555,3.5,28.310344827586206
273.0,62.0,Female,35.0,8.0,7.0,8.0,Basic,Annual,514.0,17.0,0,14.685714285714285,0.7777777777777778,0.4444444444444444,57.111111111111114
274.0,32.0,Female,47.0,20.0,0.0,8.0,Premium,Monthly,885.0,9.0,0,18.829787234042552,0.0,2.0,42.142857142857146
275.0,20.0,Male,19.0,10.0,5.0,11.0,Basic,Quarterly,644.0,8.0,0,33.89473684210526,0.4166666666666667,1.1111111111111112,58.54545454545455
276.0,28.0,Female,28.0,9.0,5.0,9.0,Premium,Monthly,628.0,18.0,0,22.428571428571427,0.5,0.47368421052631576,62.8
277.0,19.0,Male,54.0,27.0,6.0,30.0,Standard,Quarterly,131.0,20.0,1,2.425925925925926,0.1935483870967742,1.2857142857142858,4.678571428571429
278.0,24.0,Female,48.0,29.0,10.0,30.0,Premium,Monthly,278.0,26.0,1,5.791666666666667,0.3225806451612903,1.0740740740740742,9.266666666666667
279.0,43.0,Male,28.0,4.0,10.0,9.0,Premium,Annual,280.0,15.0,0,10.0,1.0,0.25,56.0
280.0,38.0,Female,13.0,13.0,6.0,27.0,Standard,Quarterly,466.0,14.0,1,35.84615384615385,0.21428571428571427,0.8666666666666667,33.285714285714285
283.0,37.0,Male,10.0,22.0,2.0,3.0,Premium,Annual,292.0,6.0,0,29.2,0.5,3.142857142857143,12.695652173913043
285.0,55.0,Female,28.0,11.0,0.0,21.0,Premium,Monthly,741.0,4.0,1,26.464285714285715,0.0,2.2,61.75
286.0,41.0,Female,14.0,18.0,10.0,15.0,Basic,Annual,380.0,7.0,0,27.142857142857142,0.625,2.25,20.0
287.0,61.0,Male,46.0,5.0,2.0,3.0,Premium,Annual,501.0,21.0,0,10.891304347826088,0.5,0.22727272727272727,83.5
288.0,20.0,Female,50.0,8.0,2.0,30.0,Basic,Annual,407.0,29.0,1,8.14,0.06451612903225806,0.26666666666666666,45.22222222222222
289.0,40.0,Male,5.0,1.0,3.0,21.0,Standard,Annual,101.0,12.0,1,20.2,0.13636363636363635,0.07692307692307693,50.5
290.0,19.0,Male,40.0,22.0,0.0,24.0,Premium,Quarterly,212.0,20.0,0,5.3,0.0,1.0476190476190477,9.217391304347826
